start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame	si_point1_x	si_point1_y	si_point2_x	si_point2_y	pixelspercm	frameRate	lvc_onset	lvc_offset	laryngeal_jump	ues_opening	uesd_dist	nrrs_valres_area	nrrs_totalval_area	nrrs_pirires_area	nrrs_totalpiri_area	pcr_min_area	pcr_max_area	pas	pas_classifiers															
1	3	7	10	19	28	19						30.9767437													0															
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	SPC_x	SPC_y	MPC_x	MPC_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
15	275.3322449	250.9754028	310.04599	355.5889511	381.1087341	333.2704468	402.0404235	280.2685274	417.512085	232.7667084	395.2114223	257.1702128	383.261944	239.662614	363.5804503	231.881459	341.7902252	249.3890578	385.3706755	278.5683891	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
16	276.2227478	249.8048096	309.9418945	355.5914993	380.9775696	333.1282959	402.0404235	280.2685274	417.6248169	232.7097321	395.9143328	257.1702128	383.261944	241.1215805	362.1746293	234.7993921	338.9785832	250.3617021	385.3706755	278.5683891	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
17	277.3191833	248.513443	309.7510376	355.7216873	380.8262634	333.0515137	402.0404235	280.2685274	417.6128235	232.4515991	395.9143328	257.1702128	381.1532125	243.0668693	362.1746293	238.2036474	338.9785832	250.3617021	385.3706755	278.5683891	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
18	278.4588623	247.082489	309.608551	355.8339157	380.7650757	333.1473999	402.0404235	280.2685274	417.6689758	232.0626831	397.3201538	257.1702128	381.1532125	244.0395137	361.4717188	238.6899696	338.9785832	250.3617021	383.261944	278.5683891	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
19	279.947113	245.7728882	309.4761353	355.7829132	380.8253174	333.2796021	402.0404235	280.2685274	417.7297668	231.6157074	397.3201538	257.1702128	380.450302	244.5258359	361.4717188	239.662614	338.9785832	250.3617021	383.261944	278.0820669	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
20	281.3557434	244.4613342	309.3790894	355.6747055	380.7715454	333.194809	402.0404235	280.2685274	417.7679749	231.4015656	398.0230643	256.6838906	380.450302	245.0121581	361.4717188	239.662614	339.6814937	250.3617021	383.261944	277.1094225	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
21	282.7155762	243.1892548	309.2079468	355.6422424	380.8787842	333.2488861	402.0404235	280.2685274	417.8552856	231.1945496	398.0230643	256.1975684	381.1532125	245.0121581	361.4717188	239.662614	342.4931356	249.3890578	383.261944	277.1094225	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
22	284.2764282	242.0959015	309.1566467	355.5588455	380.8796387	333.121521	402.0404235	280.2685274	417.9040527	231.0758057	400.1317957	255.7112462	383.261944	244.0395137	363.5804503	238.2036474	343.1960461	247.9300912	383.261944	277.1094225	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
23	285.6470337	241.1652679	309.2191772	355.5077362	381.0132446	333.0204315	402.0404235	280.2685274	417.9697876	230.9200745	400.1317957	254.2522796	385.3706755	242.0942249	364.2833608	235.2857143	344.6018671	246.4711246	383.261944	275.6504559	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
24	286.7298889	240.3520966	309.1509705	355.4094925	381.1302795	333.0822601	402.0404235	280.2685274	417.9772644	230.8713379	400.1317957	253.7659574	387.4794069	237.7173252	364.2833608	232.3677812	345.3047776	245.4984802	383.261944	274.6778116	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
25	287.5740051	239.7257538	309.1279602	355.222374	381.3234863	333.2251282	402.0404235	280.2685274	418.0206604	230.7410889	400.1317957	252.7933131	389.5881384	236.7446809	365.6891818	231.3951368	346.0076881	245.0121581	383.261944	274.6778116	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
26	288.3871765	239.1692047	309.2320557	354.9426956	381.4595642	333.1528931	402.0404235	280.2685274	418.0704651	230.7294464	401.5376167	251.3343465	389.5881384	231.881459	366.3920923	228.4772036	346.0076881	244.0395137	384.667765	273.7051672	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
27	289.2009583	238.7270508	309.2488708	354.7805099	381.5587463	332.9403381	402.0404235	280.2685274	418.1140442	230.6218414	401.5376167	249.8753799	389.5881384	231.3951368	367.7979132	226.0455927	346.7105986	243.0668693	384.667765	273.7051672	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
28	289.7225342	238.3164368	309.1025085	354.6701965	381.6649475	333.1175079	402.0404235	280.2685274	418.1030273	230.5362396	401.5376167	247.9300912	389.5881384	229.449848	368.5008237	222.1550152	347.4135091	241.6079027	385.3706755	272.7325228	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
