Swallow ID	Mandible_x	Mandible_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y
+testvideo2_morphoj_1	289.115044247788	289.849557522124	431.41592920354	359.938053097345	450.40478515625	266.110366821289	471.977172851562	208.974182128906
+testvideo2_morphoj_2	293.362831858407	293.035398230089	428.230088495575	361	450.686828613281	266.313415527344	472.258636474609	209.325866699219
+testvideo2_morphoj_3	292.300884955752	288.787610619469	428.230088495575	361	451.052154541016	266.220428466797	472.536224365234	209.394958496094
+testvideo2_morphoj_4	294.424778761062	293.035398230089	428.230088495575	361	451.389831542969	266.30632019043	472.846038818359	209.375823974609
+testvideo2_morphoj_5	290.176991150442	294.097345132743	428.230088495575	361	451.737854003906	266.303833007812	473.259094238281	209.459442138672
+testvideo2_morphoj_6	295.486725663717	295.159292035398	428.230088495575	361	452.081848144531	266.330917358398	473.793273925781	209.540405273438
+testvideo2_morphoj_7	286.991150442478	293.035398230089	428.230088495575	361	452.546936035156	266.228408813477	474.365081787109	209.410522460938
+testvideo2_morphoj_8	290.176991150442	294.097345132743	428.230088495575	361	452.811950683594	266.219009399414	474.580230712891	209.405822753906
+testvideo2_morphoj_9	290.424835205078	283.353179931641	428.230088495575	361	453.219787597656	266.042083740234	475.084838867188	209.406585693359
+testvideo2_morphoj_10	290.211212158203	283.293029785156	428.230088495575	361	453.755828857422	266.04264831543	475.671936035156	209.357574462891
+testvideo2_morphoj_11	289.454986572266	283.963607788086	428.230088495575	361	454.345611572266	266.130767822266	476.002716064453	209.386383056641
+testvideo2_morphoj_12	288.798736572266	284.500762939453	428.230088495575	361	454.881744384766	266.268051147461	476.555267333984	209.404418945312
