Swallow ID	Mandible_x	Mandible_y
+testvideo2_morphoj_1	468.336798336798	252.039501039501
+testvideo2_morphoj_2	468.336798336798	252.039501039501
+testvideo2_morphoj_3	468.336798336798	252.039501039501
+testvideo2_morphoj_4	468.336798336798	252.039501039501
+testvideo2_morphoj_5	468.336798336798	252.039501039501
+testvideo2_morphoj_6	468.336798336798	252.039501039501
+testvideo2_morphoj_7	468.336798336798	252.039501039501
+testvideo2_morphoj_8	468.336798336798	252.039501039501
+testvideo2_morphoj_9	468.336798336798	252.039501039501
+testvideo2_morphoj_10	468.336798336798	252.039501039501
+testvideo2_morphoj_11	468.336798336798	252.039501039501
+testvideo2_morphoj_12	468.336798336798	252.039501039501
+testvideo2_morphoj_13	468.336798336798	252.039501039501
+testvideo2_morphoj_14	468.336798336798	252.039501039501
+testvideo2_morphoj_15	468.336798336798	252.039501039501
+testvideo2_morphoj_16	0	481
+testvideo2_morphoj_17	0	481
+testvideo2_morphoj_18	0	481
+testvideo2_morphoj_19	0	481
+testvideo2_morphoj_20	0	481
+testvideo2_morphoj_21	0	481
