Swallow ID	Swallow Stage
Norm072_Tsp_Pud_morphoj_1	Oral Transport
Norm072_Tsp_Pud_morphoj_2	Oral Transport
Norm072_Tsp_Pud_morphoj_3	Oral Transport
Norm072_Tsp_Pud_morphoj_4	Oral Transport
Norm072_Tsp_Pud_morphoj_5	Oral Transport
Norm072_Tsp_Pud_morphoj_6	Oral Transport
Norm072_Tsp_Pud_morphoj_7	Oral Transport
Norm072_Tsp_Pud_morphoj_8	Oral Transport
Norm072_Tsp_Pud_morphoj_9	Oral Transport
Norm072_Tsp_Pud_morphoj_10	Oral Transport
Norm072_Tsp_Pud_morphoj_11	Oral Transport
Norm072_Tsp_Pud_morphoj_12	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_13	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_14	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_15	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_16	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_17	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_18	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_19	Esophageal Stage
Norm072_Tsp_Pud_morphoj_20	Esophageal Stage
Norm072_Tsp_Pud_morphoj_21	Esophageal Stage
Norm072_Tsp_Thn_morphoj_1	Oral Transport
Norm072_Tsp_Thn_morphoj_2	Oral Transport
Norm072_Tsp_Thn_morphoj_3	Oral Transport
Norm072_Tsp_Thn_morphoj_4	Oral Transport
Norm072_Tsp_Thn_morphoj_5	Oral Transport
Norm072_Tsp_Thn_morphoj_6	Oral Transport
Norm072_Tsp_Thn_morphoj_7	Oral Transport
Norm072_Tsp_Thn_morphoj_8	Oral Transport
Norm072_Tsp_Thn_morphoj_9	Oral Transport
Norm072_Tsp_Thn_morphoj_10	Oral Transport
Norm072_Tsp_Thn_morphoj_11	Oral Transport
Norm072_Tsp_Thn_morphoj_12	Oral Transport
Norm072_Tsp_Thn_morphoj_13	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_14	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_15	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_16	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_17	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_18	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_19	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_20	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_21	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_22	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_23	Esophageal Stage
Norm072_Tsp_Thn_morphoj_24	Esophageal Stage
Norm072_Tsp_Thn_morphoj_25	Esophageal Stage
Norm072_Tsp_Thn_morphoj_26	Esophageal Stage
Norm072_Tsp_Thn_morphoj_27	Esophageal Stage
Norm072_Tsp_Thn_morphoj_28	Esophageal Stage
